"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 05 11:33:30 IST 2024","Fri Apr 05 11:33:34 IST 2024","3282","chromium","test1.spec.js","","","","Basic Test 2",""
"passed","Fri Apr 05 11:33:18 IST 2024","Fri Apr 05 11:33:30 IST 2024","12021","chromium","test1.spec.js","","","","Basic Test @new",""
